name,default_expressions,referenced_by,reference_count
SQUARE_APPLICATION_ID,"""""",server/office-console/app/config.py,1
SQUARE_BASE_URL,"""http://127.0.0.1:9003/square"" | ""https://connect.squareup.com""",server/office-console/app/config.py | server/orchestrator/app/config.py,2
SQUARE_DELIVERY_METHOD,"""SHARE_MANUALLY""",server/orchestrator/app/config.py,1
SQUARE_ENVIRONMENT,"""local""",server/office-console/app/config.py,1
SQUARE_LOCATION_ID,"""local-square-location""",server/office-console/app/config.py,1
SQUARE_VERSION,"""2026-07-15""",server/office-console/app/config.py | server/orchestrator/app/config.py,2
SQUARE_WEBHOOK_SIGNATURE_KEY,"""local-square-signature-key""",server/local-lab/app/main.py,1
SQUARE_WEB_SDK_URL,"""""",server/office-console/app/config.py,1
STARTUP,,server/aio/pterodactyl-entrypoint.sh,1
TWILIO_ACCOUNT_SID,"""ACLOCALFLOODMAN""",server/office-console/app/config.py,1
TWILIO_AUTH_TOKEN,"""local-twilio-auth-token""",server/local-lab/app/main.py,1
TWILIO_BASE_URL,"""http://127.0.0.1:9003/twilio/2010-04-01"" | ""https://api.twilio.com/2010-04-01""",server/office-console/app/config.py | server/orchestrator/app/config.py,2
TWILIO_FROM_NUMBER,""""" | ""+13135550100""",server/local-lab/app/main.py | server/orchestrator/app/config.py,2
TWILIO_INBOUND_WEBHOOK_URL,"f""{public_url}/webhooks/twilio/inbound""",server/orchestrator/app/config.py,1
TWILIO_MESSAGING_SERVICE_SID,"""""",server/orchestrator/app/config.py,1
TWILIO_STATUS_WEBHOOK_URL,"f""{public_url}/webhooks/twilio/status""",server/orchestrator/app/config.py,1
TZ,"""America/Detroit""",server/aio/finalize-gauzy.sh | server/aio/start-suite.sh | server/office-console/app/store.py,3
